clusterID,template,size
1,TraceID: <:TRACEID:> SpanID: <:SPANID:> Request complete,604069
2,TraceID: <:TRACEID:> SpanID: <:SPANID:> Adding to cart complete,62554
3,TraceID: <:TRACEID:> SpanID: <:SPANID:> Adding to cart started,64128
4,TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started,604136
5,"TraceID: <:TRACEID:> SpanID: <:SPANID:> AddItemAsync called with userId=<:USERID:>, productId=<:PRODUCTID:>, quantity=<:NUM:>",62551
6,TraceID: <:TRACEID:> SpanID: <:SPANID:> List Recommendations product ids=<:ITEM:>,412469
7,TraceID: <:TRACEID:> SpanID: <:SPANID:> Query Recommendations,413271
8,TraceID: <:TRACEID:> SpanID: <:SPANID:> Query product with name and description <:*:>,3944533
9,TraceID: <:TRACEID:> SpanID: <:SPANID:> List products end,479345
10,TraceID: <:TRACEID:> SpanID: <:SPANID:> Parse catalog successfully,479458
11,TraceID: <:TRACEID:> SpanID: <:SPANID:> get results: <:ITEM:>,4315118
12,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start query product catalog,479457
13,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start parse catalog,479457
14,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start list products,479460
15,TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page complete,265769
16,TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad complete,326635
17,TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad started,331217
18,TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started,281058
19,TraceID: <:TRACEID:> SpanID: <:SPANID:> Get currency data successful,1725087
20,TraceID: <:TRACEID:> SpanID: <:SPANID:> Conversion request successful,1245628
21,TraceID: <:TRACEID:> SpanID: <:SPANID:> Handles decimal or fractional carrying,2491256
22,TraceID: <:TRACEID:> SpanID: <:SPANID:> Getting currency data,1725087
23,TraceID: <:TRACEID:> SpanID: <:SPANID:> Received conversion request,1245628
24,TraceID: <:TRACEID:> SpanID: <:SPANID:> Getting supported currencies...,479459
25,TraceID: <:TRACEID:> SpanID: <:SPANID:> GetCartAsync called with userId=<:USERID:>,481322
26,<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Get Ads by Category <:*:>,707200
27,<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Query items successfully.,416099
28,<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Received ad request (context words=<:ITEM:>,331107
29,TraceID: <:TRACEID:> SpanID: <:SPANID:>[GetQuote] completed request,147770
30,TraceID: <:TRACEID:> SpanID: <:SPANID:>[CreateQuoteFromCount] completed request,147997
31,TraceID: <:TRACEID:> SpanID: <:SPANID:>[CreateQuoteFromFloat] completed request,147997
32,TraceID: <:TRACEID:> SpanID: <:SPANID:>[CreateQuoteFromFloat] received request,147997
33,TraceID: <:TRACEID:> SpanID: <:SPANID:>[QuoteByCountFloat] completed request,147997
34,TraceID: <:TRACEID:> SpanID: <:SPANID:>[QuoteByCountFloat] received request,147997
35,TraceID: <:TRACEID:> SpanID: <:SPANID:>[CreateQuoteFromCount] received request,147997
36,TraceID: <:TRACEID:> SpanID: <:SPANID:>[GetQuote] received request,147998
37,TraceID: <:TRACEID:> SpanID: <:SPANID:> View user cart complete,126083
38,TraceID: <:TRACEID:> SpanID: <:SPANID:> View user cart start,127934
39,TraceID: <:TRACEID:> SpanID: <:SPANID:> Setting currency complete,43380
40,TraceID: <:TRACEID:> SpanID: <:SPANID:> Setting currency started,43380
41,TraceID: <:TRACEID:> SpanID: <:SPANID:> Request home complete,63905
42,TraceID: <:TRACEID:> SpanID: <:SPANID:> Request home started,65450
43,<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> Constructe random Ads <:*:>,62515
44,<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> No context provided.,14
45,TraceID: <:TRACEID:> SpanID: <:SPANID:>[ShipOrder] completed request,20796
46,TraceID: <:TRACEID:> SpanID: <:SPANID:>[ShipOrder] received request,20833
47,TraceID: <:TRACEID:> SpanID: <:SPANID:> Transaction processed: visa ending<:ITEM:>,21241
48,TraceID: <:TRACEID:> SpanID: <:SPANID:> PaymentService#Charge invoked with request<:ITEM:>,21241
49,TraceID: <:TRACEID:> SpanID: <:SPANID:> Order placed complete,20313
50,TraceID: <:TRACEID:> SpanID: <:SPANID:> Placing order started,22186
51,TraceID: <:TRACEID:> SpanID: <:SPANID:> A request to send order confirmation email to someone@example.com has been received.,20832
52,TraceID: <:TRACEID:> SpanID: <:SPANID:> Send order confirmation email to someone@example.com start.,20832
53,TraceID: <:TRACEID:> SpanID: <:SPANID:> PlaceOrder user id<:ITEM:>,20835
54,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Order confirmation email sent to ""someone@example.com""",20833
55,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start send Order Confirmation to email someone@example.com,20833
56,TraceID: <:TRACEID:> SpanID: <:SPANID:> Empty the cart of user <:USERID:> successfully,20833
57,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start empty the cart of user <:USERID:>,20833
58,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Ship Order to address street address:""<:NUM:> Amphitheatre Parkway"" city:""Mountain View"" state:""CA"" country:""United States"" zip code:<:NUM:> successfully",20833
59,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Start ship Order to address street address:""<:NUM:> Amphitheatre Parkway"" city:""Mountain View"" state:""CA"" country:""United States"" zip code:<:NUM:>",20833
60,TraceID: <:TRACEID:> SpanID: <:SPANID:> Payment went through (transaction id: <:*:>,20835
61,TraceID: <:TRACEID:> SpanID: <:SPANID:> Charge successfully,20833
62,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start charge card,21916
63,TraceID: <:TRACEID:> SpanID: <:SPANID:> Prepare order of user <:USERID:> successfully,21918
64,TraceID: <:TRACEID:> SpanID: <:SPANID:> Convert currency from currency code:<:ITEM:>,76737
65,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start convert currency from currency code:<:ITEM:>,76737
66,TraceID: <:TRACEID:> SpanID: <:SPANID:> Get shipping cost currency code:<:ITEM:>,21917
67,TraceID: <:TRACEID:> SpanID: <:SPANID:> Quote shipping with items<:ITEM:>,21917
68,TraceID: <:TRACEID:> SpanID: <:SPANID:> Query cost of products<:ITEM:>,21917
69,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start query cost of products<:ITEM:>,22175
70,TraceID: <:TRACEID:> SpanID: <:SPANID:> Get user <:USERID:> cart items:<:ITEM:>,21940
71,TraceID: <:TRACEID:> SpanID: <:SPANID:> Query cart of user <:USERID:>,22176
72,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start prepare order of user <:USERID:>,22177
73,TraceID: <:TRACEID:> SpanID: <:SPANID:> Get OrderID <:USERID:>,22177
74,TraceID: <:TRACEID:> SpanID: <:SPANID:> Start PlaceOrder user id<:ITEM:>,22177
75,TraceID: <:TRACEID:> SpanID: <:SPANID:> EmptyCartAsync called with userId=<:USERID:>,20833
76,frontend hipstershop.Frontend/Recv. start,176
77,frontend hipstershop.Frontend/Recv. end,123
78,frontend hipstershop.ProductCatalogService/GetProduct start,417
79,frontend hipstershop.ProductCatalogService/GetProduct end,417
80,frontend hipstershop.CurrencyService/GetSupportedCurrencies start,79
81,frontend hipstershop.CurrencyService/GetSupportedCurrencies end,79
82,frontend hipstershop.CartService/GetCart start,72
83,frontend hipstershop.CartService/GetCart end,72
84,frontend hipstershop.CurrencyService/Convert start,234
85,frontend hipstershop.CurrencyService/Convert end,234
86,frontend hipstershop.RecommendationService/ListRecommendations start,63
87,frontend hipstershop.RecommendationService/ListRecommendations end,63
88,frontend hipstershop.AdService/GetAds start,52
89,frontend hipstershop.AdService/GetAds end,52
90,productcatalogservice hipstershop.ProductCatalogService/GetProduct start,406
91,productcatalogservice hipstershop.ProductCatalogService/GetProduct end,406
92,productcatalogservice hipstershop.ProductCatalogService/ListProducts start,73
93,productcatalogservice hipstershop.ProductCatalogService/ListProducts end,73
94,productcatalogservice sql.conn.query start,476
95,productcatalogservice sql.conn.query end,476
96,productcatalogservice sql.rows start,476
97,productcatalogservice sql.rows end,476
98,currencyservice grpc.hipstershop.CurrencyService/GetSupportedCurrencies start,72
99,currencyservice grpc.hipstershop.CurrencyService/GetSupportedCurrencies end,72
100,currencyservice hipstershop.CurrencyService/GetCurrencyData start,299
101,currencyservice hipstershop.CurrencyService/GetCurrencyData end,299
102,cartservice hipstershop.CartService/GetCart start,75
103,cartservice hipstershop.CartService/GetCart end,75
104,currencyservice grpc.hipstershop.CurrencyService/Convert start,227
105,currencyservice grpc.hipstershop.CurrencyService/Convert end,227
106,currencyservice hipstershop.CurrencyService/Carry start,454
107,currencyservice hipstershop.CurrencyService/Carry end,454
108,recommendationservice /hipstershop.RecommendationService/ListRecommendations start,59
109,recommendationservice /hipstershop.RecommendationService/ListRecommendations end,58
110,recommendationservice /hipstershop.ProductCatalogService/ListProducts start,56
111,recommendationservice /hipstershop.ProductCatalogService/ListProducts end,56
112,productcatalogservice hipstershop.ProductCatalogService/ParseCatalog start,70
113,productcatalogservice hipstershop.ProductCatalogService/ParseCatalog end,70
114,productcatalogservice hipstershop.ProductCatalogService/ReadCatalog start,70
115,productcatalogservice hipstershop.ProductCatalogService/ReadCatalog end,70
116,adservice hipstershop.AdService/GetAds start,50
117,adservice hipstershop.AdService/GetAds end,50
118,adservice hipstershop.AdServiceImpl/getAds start,50
119,adservice hipstershop.AdServiceImpl/getAds end,50
120,adservice hipstershop.AdService/<:SPANID:> start,48
121,adservice hipstershop.AdService/<:SPANID:> end,48
122,adservice SELECT addatabase.aditems start,60
123,adservice SELECT addatabase.aditems end,60
124,frontend hipstershop.ShippingService/GetQuote start,18
125,frontend hipstershop.ShippingService/GetQuote end,18
126,shippingservice hipstershop.ShippingService/GetQuote start,21
127,shippingservice hipstershop.ShippingService/GetQuote end,21
128,shippingservice hipstershop.ShippingService/CreateQuoteFromCount start,20
129,shippingservice hipstershop.ShippingService/CreateQuoteFromCount end,20
130,shippingservice hipstershop.ShippingService/QuoteByCountFloat start,20
131,shippingservice hipstershop.ShippingService/QuoteByCountFloat end,20
132,shippingservice hipstershop.ShippingService/CreateQuoteFromFloat start,20
133,shippingservice hipstershop.ShippingService/CreateQuoteFromFloat end,20
134,frontend hipstershop.ProductCatalogService/ListProducts start,14
135,frontend hipstershop.ProductCatalogService/ListProducts end,14
136,adservice hipstershop.AdService/getRandomAds start,13
137,adservice hipstershop.AdService/getRandomAds end,13
138,"TraceID: <:TRACEID:>, SpanID: <:SPANID:> Request error",20593
139,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to complete the order,1873
140,frontend hipstershop.CheckoutService/PlaceOrder start,9
141,frontend hipstershop.CheckoutService/PlaceOrder end,9
142,checkoutservice hipstershop.CheckoutService/PlaceOrder start,9
143,checkoutservice hipstershop.CheckoutService/PlaceOrder end,9
144,checkoutservice hipstershop.CartService/GetCart start,8
145,checkoutservice hipstershop.CartService/GetCart end,8
146,checkoutservice hipstershop.ProductCatalogService/GetProduct start,18
147,checkoutservice hipstershop.ProductCatalogService/GetProduct end,18
148,checkoutservice hipstershop.ShippingService/GetQuote start,6
149,checkoutservice hipstershop.ShippingService/GetQuote end,6
150,checkoutservice hipstershop.PaymentService/Charge start,5
151,checkoutservice hipstershop.PaymentService/Charge end,5
152,checkoutservice hipstershop.CheckoutService/PrepareOrderItemsAndShippingQuoteFromCart start,8
153,checkoutservice hipstershop.CheckoutService/PrepareOrderItemsAndShippingQuoteFromCart end,8
154,checkoutservice hipstershop.CheckoutService/GetUserCart start,8
155,checkoutservice hipstershop.CheckoutService/GetUserCart end,8
156,checkoutservice hipstershop.CheckoutService/PrepOrderItems start,7
157,checkoutservice hipstershop.CheckoutService/PrepOrderItems end,7
158,checkoutservice hipstershop.CheckoutService/ConvertCurrency start,22
159,checkoutservice hipstershop.CheckoutService/ConvertCurrency end,22
160,checkoutservice hipstershop.CheckoutService/QuoteShipping start,5
161,checkoutservice hipstershop.CheckoutService/QuoteShipping end,5
162,checkoutservice hipstershop.CheckoutService/ChargeCard start,5
163,checkoutservice hipstershop.CheckoutService/ChargeCard end,5
164,TraceID: <:TRACEID:> SpanID: <:SPANID:> Could not charge the card: charge card error.,409
165,paymentservice grpc.hipstershop.PaymentService/Charge start,4
166,paymentservice grpc.hipstershop.PaymentService/Charge end,4
167,frontend hipstershop.CartService/AddItem start,11
168,frontend hipstershop.CartService/AddItem end,11
169,cartservice hipstershop.CartService/AddItem start,9
170,cartservice hipstershop.CartService/AddItem end,9
171,checkoutservice hipstershop.ShippingService/ShipOrder start,4
172,checkoutservice hipstershop.ShippingService/ShipOrder end,4
173,checkoutservice hipstershop.CartService/EmptyCart start,4
174,checkoutservice hipstershop.CartService/EmptyCart end,4
175,checkoutservice hipstershop.EmailService/SendOrderConfirmation start,4
176,checkoutservice hipstershop.EmailService/SendOrderConfirmation end,4
177,checkoutservice hipstershop.CheckoutService/ShipOrder start,3
178,checkoutservice hipstershop.CheckoutService/ShipOrder end,3
179,checkoutservice hipstershop.CheckoutService/EmptyUserCart start,3
180,checkoutservice hipstershop.CheckoutService/EmptyUserCart end,3
181,checkoutservice hipstershop.CheckoutService/SendOrderConfirmation start,3
182,checkoutservice hipstershop.CheckoutService/SendOrderConfirmation end,3
183,cartservice hipstershop.CartService/EmptyCart start,3
184,cartservice hipstershop.CartService/EmptyCart end,3
185,shippingservice hipstershop.ShippingService/ShipOrder start,3
186,shippingservice hipstershop.ShippingService/ShipOrder end,3
187,emailservice /hipstershop.EmailService/SendOrderConfirmation start,3
188,emailservice /hipstershop.EmailService/SendOrderConfirmation end,3
189,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to connect payment service: connect error.,675
190,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to retrieve ads,3039
191,TraceID: <:TRACEID:> SpanID: <:SPANID:> Product id not specified,8039
192,TraceID: <:TRACEID:> SpanID: <:SPANID:> Could not retrieve product,7251
193,TraceID: <:TRACEID:> SpanID: <:SPANID:> failed to scan mysql query result: Query product error.,6155
194,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to convert product,1574
195,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to get product recommendations,1852
196,TraceID: <:TRACEID:> SpanID: <:SPANID:> Get user <:USERID:> cart,237
197,CpuUsageRate(%),25
198,MemoryUsageRate(%),19
199,NetworkP90(ms),25
200,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to add to cart,1
201,TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to do currency conversion for product <:PRODUCTID:>,1
202,"{""log"":""Inject cpu successfully{\""timestamp\"": <:*:> \""severity\"": \""INFO\"", \""name\"": \""recommendationservice-server\"", \""message\"": \""TraceID: <:TRACEID:> SpanID: <:SPANID:> List Recommendations product ids=<:ITEM:>",834
203,"{""log"":""Inject cpu successfully{\""timestamp\"": \""<:NUM:>-<:NUM:>-14T08:<:NUM:>:<:NUM:>.083578Z\"", \""severity\"": \""INFO\"", \""name\"": \""recommendationservice-server\"", \""message\"": \""TraceID: <:TRACEID:> SpanID: <:SPANID:> Query Recommendations\""}\n"",""stream"":""stdout"",""time"":""<:NUM:>-<:NUM:>-14T08:<:NUM:>:<:NUM:>.<:PRODUCTID:>""}",1
204,"{""log"":""Inject cpu successfully{\""timestamp\"": \""<:NUM:>-<:NUM:>-14T08:<:NUM:>:<:NUM:>.680626Z\"", \""severity\"": \""INFO\"", \""name\"": \""recommendationservice-server\"", \""message\"": \""TraceID: <:TRACEID:> SpanID: <:SPANID:> Query Recommendations\""}\n"",""stream"":""stdout"",""time"":""<:NUM:>-<:NUM:>-14T08:<:NUM:>:<:NUM:>.68091567Z""}",1
